Student_ID,Subject,Comment,Rating
177,Computer Science,The practicals made learning easier.,4
178,Computer Science,Very little feedback on assignments.,2
179,English,"Overall, a great learning experience.",4
180,Physics,I liked how the instructor encouraged participation.,5
181,Physics,Assignments were difficult and unclear.,2
182,Math,The notes were good but lacked examples.,3
183,Science,The teacher rarely clarified doubts.,1
184,Economics,Group activities were decent.,4
185,Chemistry,Neutral experience overall.,4
186,Computer Science,The teacher explained every topic clearly.,5
187,Computer Science,Concepts were explained using real-life examples.,5
188,Science,Sometimes the lectures were lengthy.,4
189,Chemistry,Group activities were decent.,3
190,History,Hard to follow due to unclear explanations.,2
191,Math,The class was very informative and engaging.,5
192,Physics,"Overall, a great learning experience.",5
193,Economics,The course pace was too fast to understand.,2
194,Science,Very little feedback on assignments.,3
195,History,The teacher made even tough topics simple.,5
196,Economics,The practicals made learning easier.,5
197,Economics,The notes were good but lacked examples.,3
198,History,The teacher made even tough topics simple.,5
199,History,The teacher rarely clarified doubts.,2
200,Math,Sometimes the lectures were lengthy.,4
